Property Status,Price,Bed,Bath,Sqft,Lot Size,Address,Link
House for sale,"$849,900",3,2.5,"2,866sqft","7,841sqft lot","5701 Travis Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5701-Travis-Dr_Frisco_TX_75034_M72267-93592?from=srp-list-card
House for sale,"$624,000",4,3,"3,038sqft","8,015sqft lot","4465 Mira Vista Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4465-Mira-Vista-Dr_Frisco_TX_75034_M72206-81396?from=srp-list-card
House for sale,"$1,260,000",4,4,"4,045sqft",0.29acre lot,"4 Spyglass Ct Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4-Spyglass-Ct_Frisco_TX_75034_M82265-87379?from=srp-list-card
House for sale,"$2,615,000",5,5.5+,"6,518sqft",0.32acre lot,"44 Armstrong Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/44-Armstrong-Dr_Frisco_TX_75034_M82597-69934?from=srp-list-card
Townhouse for sale,"$549,000",3,2.5,"3,219sqft","3,049sqft lot","8405 Moore St Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/8405-Moore-St_Frisco_TX_75034_M82409-03920?from=srp-list-card
House for sale,"$1,199,000",4,4.5+,"3,870sqft","8,451sqft lot","3848 Elmstead Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/3848-Elmstead-Dr_Frisco_TX_75034_M92574-93294?from=srp-list-card
House for sale,"$2,099,000",5,5.5,"5,263sqft",0.52acre lot,"4824 Longvue Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/4824-Longvue-Dr_Frisco_TX_75034_M79946-41493?from=srp-list-card
House for sale,"$390,000",4,1,"1,300sqft","8,712sqft lot","7210 Hickory St Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/7210-Hickory-St_Frisco_TX_75034_M78064-04614?from=srp-list-card
House for sale,"$1,995,000",4,5.5,"5,292sqft",0.25acre lot,"5332 Longvue Dr Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/5332-Longvue-Dr_Frisco_TX_75034_M78081-65040?from=srp-list-card
House for sale,"$415,000",3,2,"1,140sqft",0.23acre lot,"7250 Ash St Frisco, TX 75034",https://www.realtor.com/realestateandhomes-detail/7250-Ash-St_Frisco_TX_75034_M83983-61638?from=srp-list-card
